"Date","Open","High","Low","Close","Volume","ticker","name"
"1986-07-09 00:00:00-04:00","7.140088140964508","7.390617549419403","7.05657833814621","7.348862648010254","1116800","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-10 00:00:00-04:00","7.390620141710555","7.432375057765416","7.140090645381383","7.30711030960083","595600","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-11 00:00:00-04:00","7.265356097701034","7.307111017802764","7.056581497192383","7.056581497192383","800400","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-14 00:00:00-04:00","7.098334475261409","7.098334475261409","6.7642952058373425","6.847805023193359","738000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-15 00:00:00-04:00","6.80605155716902","6.80605155716902","6.221482711768","6.639031887054443","2059200","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-16 00:00:00-04:00","6.639033185111152","7.014827516343859","6.639033185111152","6.764297962188721","1160400","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-17 00:00:00-04:00","6.7642958646903","6.847805690180304","6.680786039200298","6.806050777435303","1046000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-18 00:00:00-04:00","6.806050114515351","6.910437386210372","6.680785388481326","6.847805023193359","1420000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-21 00:00:00-04:00","6.847805023193359","6.889559931871368","6.806050114515351","6.847805023193359","322800","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-22 00:00:00-04:00","6.847805690180304","6.868683146552805","6.806050777435303","6.806050777435303","390800","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-23 00:00:00-04:00","6.847805591843883","6.847805591843883","6.680785943262325","6.722540855407715","1004000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-24 00:00:00-04:00","6.722541722111732","6.764296639640376","6.555522051997155","6.639031887054443","1071600","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-25 00:00:00-04:00","6.639031031116936","6.764295767553104","6.597276118971546","6.722540855407715","688400","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-28 00:00:00-04:00","6.722543036496198","6.847807813573767","6.659910647957413","6.764297962188721","414800","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-29 00:00:00-04:00","6.680786039200298","6.806050777435303","6.680786039200298","6.806050777435303","278400","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-30 00:00:00-04:00","6.722543036496198","6.764297962188721","6.597278259418629","6.764297962188721","459200","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-31 00:00:00-04:00","6.764295767553104","6.847805591843883","6.680785943262325","6.722540855407715","1213600","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-01 00:00:00-04:00","6.680788382505759","6.764298237287081","6.513768672943115","6.513768672943115","1118000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-04 00:00:00-04:00","6.5555236003337765","6.5555236003337765","6.367626427075802","6.513768672943115","892400","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-05 00:00:00-04:00","6.513768813189339","6.513768813189339","6.346749100030637","6.3885040283203125","868800","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-06 00:00:00-04:00","6.3885015396222675","6.430256451645942","6.096217155456543","6.096217155456543","550400","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-07 00:00:00-04:00","6.012708236922079","6.054463155234038","5.428139380554655","5.59515905380249","7560000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-08 00:00:00-04:00","5.636914296888969","5.970953662630538","5.5951593761712735","5.929198741912842","2802000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-11 00:00:00-04:00","6.012707331409192","6.096217155456543","5.929197507361843","6.096217155456543","1428000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-12 00:00:00-04:00","6.096216882069905","6.304991432825724","6.096216882069905","6.2632365226745605","1155200","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-13 00:00:00-04:00","6.3049937709685295","6.743420490141839","6.263238845332976","6.472013473510742","865600","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-14 00:00:00-04:00","6.513763641056262","6.555518536191238","6.263234270246405","6.346744060516357","762000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-15 00:00:00-04:00","6.346746342976887","6.346746342976887","6.137971792221069","6.2632365226745605","654400","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-18 00:00:00-04:00","6.3049937709685295","6.597278250417402","6.17972899406187","6.472013473510742","606800","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-19 00:00:00-04:00","6.513768813189339","6.513768813189339","6.346749100030637","6.3885040283203125","2744000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-20 00:00:00-04:00","6.388498955651333","6.388498955651333","6.263234270246405","6.346744060516357","500000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-21 00:00:00-04:00","6.346747114168887","6.388502029393683","6.304992198944092","6.304992198944092","353200","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-22 00:00:00-04:00","6.346746342976887","6.388501253128052","6.26323652267456","6.2632365226745605","286000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-25 00:00:00-04:00","6.346745748777647","6.346745748777647","6.096216311325898","6.1797261238098145","766400","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-26 00:00:00-04:00","6.137971792221069","6.26323652267456","6.137971792221069","6.2632365226745605","408800","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-27 00:00:00-04:00","6.263238631638905","6.263238631638905","6.137973859006126","6.2214837074279785","686400","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-28 00:00:00-04:00","6.2214821828465885","6.2214821828465885","6.096217440910079","6.137972354888916","286000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-29 00:00:00-04:00","6.096217155456543","6.179726979503893","6.054462243432868","6.096217155456543","1128800","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-09-02 00:00:00-04:00","6.137970757484436","6.137970757484436","5.803931532587324","5.845686435699463","916800","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-09-03 00:00:00-04:00","5.845688239677802","5.9709529876708975","5.803933323680104","5.970952987670898","684400","COST","Costco Wholesale Corporation (COST) Historical Data"
